# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/03	18:19:14
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Solid Sphere Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |   Name   |
#      |    krad (Si) |          |
 00308 |  9.743e+001  | Detector |
 00309 |  9.749e+001  | Detector |
 00310 |  9.718e+001  | Detector |
 00311 |  9.705e+001  | Detector |
 00312 |  9.640e+001  | Detector |
 00313 |  9.594e+001  | Detector |
 00314 |  9.567e+001  | Detector |
 00315 |  9.531e+001  | Detector |
 00316 |  1.182e+002  | Detector |
 00317 |  1.362e+002  | Detector |
 00318 |  1.085e+002  | Detector |
 00319 |  1.037e+002  | Detector |
 00320 |  1.017e+002  | Detector |
 00321 |  1.008e+002  | Detector |
 00322 |  1.004e+002  | Detector |
 00323 |  9.922e+001  | Detector |
 00324 |  9.970e+001  | Detector |
 00325 |  9.919e+001  | Detector |
 00326 |  9.960e+001  | Detector |
 00327 |  9.872e+001  | Detector |
 00328 |  9.871e+001  | Detector |
 00329 |  9.819e+001  | Detector |
 00330 |  9.815e+001  | Detector |
 00331 |  9.792e+001  | Detector |
 00332 |  9.711e+001  | Detector |
 00333 |  9.678e+001  | Detector |
 00334 |  9.647e+001  | Detector |
 00335 |  9.556e+001  | Detector |
 00336 |  9.532e+001  | Detector |
 00337 |  1.172e+002  | Detector |
 00338 |  1.356e+002  | Detector |
 00339 |  1.078e+002  | Detector |
 00340 |  1.039e+002  | Detector |
 00341 |  1.024e+002  | Detector |
 00342 |  1.018e+002  | Detector |
 00343 |  1.016e+002  | Detector |
 00344 |  1.010e+002  | Detector |
 00345 |  1.012e+002  | Detector |
 00346 |  1.011e+002  | Detector |
 00347 |  1.013e+002  | Detector |
 00348 |  1.006e+002  | Detector |
 00349 |  1.003e+002  | Detector |
 00350 |  1.003e+002  | Detector |
 00351 |  9.978e+001  | Detector |
 00352 |  9.923e+001  | Detector |
 00353 |  9.851e+001  | Detector |
 00354 |  9.775e+001  | Detector |
 00355 |  9.671e+001  | Detector |
 00356 |  9.491e+001  | Detector |
 00357 |  9.399e+001  | Detector |
 00358 |  1.138e+002  | Detector |
 00359 |  1.340e+002  | Detector |
 00360 |  1.070e+002  | Detector |
 00361 |  1.044e+002  | Detector |
 00362 |  1.039e+002  | Detector |
 00363 |  1.034e+002  | Detector |
 00364 |  1.034e+002  | Detector |
 00365 |  1.033e+002  | Detector |
 00366 |  1.033e+002  | Detector |
 00367 |  1.033e+002  | Detector |
 00368 |  1.032e+002  | Detector |
 00369 |  1.030e+002  | Detector |
 00370 |  1.027e+002  | Detector |
 00371 |  1.024e+002  | Detector |
 00372 |  1.021e+002  | Detector |
 00373 |  1.015e+002  | Detector |
 00374 |  1.006e+002  | Detector |
 00375 |  9.927e+001  | Detector |
 00376 |  9.680e+001  | Detector |
 00377 |  9.229e+001  | Detector |
 00378 |  9.062e+001  | Detector |
 00379 |  9.441e+001  | Detector |
 00380 |  1.282e+002  | Detector |
 00381 |  1.034e+002  | Detector |
 00382 |  1.072e+002  | Detector |
 00383 |  1.078e+002  | Detector |
